b	V(vo)
1.000000000000000e-002	7.103167e-003
1.258925411794167e-002	8.944456e-003
1.584893192461114e-002	1.126373e-002
1.995262314968880e-002	1.418547e-002
2.511886431509581e-002	1.786682e-002
3.162277660168381e-002	2.250628e-002
3.981071705534974e-002	2.835480e-002
5.011872336272726e-002	3.573004e-002
6.309573444801936e-002	4.503460e-002
7.943282347242819e-002	5.677965e-002
1.000000000000001e-001	7.161564e-002
1.258925411794168e-001	9.037250e-002
1.584893192461115e-001	1.141128e-001
1.995262314968881e-001	1.442030e-001
2.511886431509582e-001	1.824095e-001
3.162277660168382e-001	2.310316e-001
3.981071705534977e-001	2.930876e-001
5.011872336272728e-001	3.725813e-001
6.309573444801939e-001	4.748944e-001
7.943282347242824e-001	6.073803e-001
1.000000000000001e+000	7.802932e-001
1.258925411794169e+000	1.008302e+000
1.584893192461115e+000	1.313074e+000
1.995262314968882e+000	1.727925e+000
2.511886431509584e+000	2.306788e+000
3.162277660168384e+000	3.143011e+000
3.981071705534979e+000	4.413250e+000
5.011872336272731e+000	6.495639e+000
6.309573444801943e+000	1.017788e+001
7.943282347242829e+000	1.017961e+001
1.000000000000002e+001	1.017961e+001
1.258925411794170e+001	1.017961e+001
1.584893192461117e+001	1.017961e+001
1.995262314968884e+001	1.017961e+001
2.511886431509585e+001	1.017961e+001
3.162277660168386e+001	1.017961e+001
3.981071705534981e+001	1.017961e+001
5.011872336272734e+001	1.017961e+001
6.309573444801948e+001	1.017961e+001
7.943282347242835e+001	1.017961e+001
1.000000000000003e+002	1.017961e+001
1.258925411794171e+002	1.017961e+001
1.584893192461118e+002	1.017961e+001
1.995262314968885e+002	1.017961e+001
