Freq.	1/(1-1/(2*(I(Vi)@1*V(x)@2-V(x)@1*I(Vi)@2)+V(x)@1+I(Vi)@2))
Step Information: Prb=-1  (Run: 1/2)
1.00000000000000e+001	(8.32737107249945e+001dB,9.25367846050968e+001°)
1.00230523807790e+001	(8.32531275819881e+001dB,9.25233672644394e+001°)
1.00461579027840e+001	(8.32325423054072e+001dB,9.25099825763808e+001°)
1.00693166885180e+001	(8.32119549003868e+001dB,9.24966305102196e+001°)
1.00925288607668e+001	(8.31913653733756e+001dB,9.24833110751832e+001°)
1.01157945425990e+001	(8.31707737303367e+001dB,9.24700242620160e+001°)
1.01391138573668e+001	(8.31501799785485e+001dB,9.24567700656692e+001°)
1.01624869287070e+001	(8.31295841217463e+001dB,9.24435484643400e+001°)
1.01859138805412e+001	(8.31089861687038e+001dB,9.24303594568748e+001°)
1.02093948370768e+001	(8.30883861239762e+001dB,9.24172030551988e+001°)
1.02329299228075e+001	(8.30677839944307e+001dB,9.24040792254390e+001°)
1.02565192625141e+001	(8.30471797866163e+001dB,9.23909879850246e+001°)
1.02801629812647e+001	(8.30265735063754e+001dB,9.23779293101413e+001°)
1.03038612044162e+001	(8.30059651611328e+001dB,9.23649032144170e+001°)
1.03276140576140e+001	(8.29853547560007e+001dB,9.23519096570982e+001°)
1.03514216667934e+001	(8.29647422985638e+001dB,9.23389486696642e+001°)
1.03752841581801e+001	(8.29441277951204e+001dB,9.23260202218901e+001°)
1.03992016582906e+001	(8.29235112512339e+001dB,9.23131243270204e+001°)
1.04231742939330e+001	(8.29028926731964e+001dB,9.23002609488028e+001°)
1.04472021922080e+001	(8.28822720700092e+001dB,9.22874301165020e+001°)
1.04712854805090e+001	(8.28616494464545e+001dB,9.22746318072383e+001°)
1.04954242865232e+001	(8.28410248097997e+001dB,9.22618660062887e+001°)
1.05196187382322e+001	(8.28203981659481e+001dB,9.22491327213065e+001°)
1.05438689639126e+001	(8.27997695223082e+001dB,9.22364319409710e+001°)
1.05681750921366e+001	(8.27791388851601e+001dB,9.22237636583735e+001°)
1.05925372517729e+001	(8.27585062623663e+001dB,9.22111278697345e+001°)
1.06169555719872e+001	(8.27378716591331e+001dB,9.21985245769474e+001°)
1.06414301822431e+001	(8.27172350837138e+001dB,9.21859537419561e+001°)
1.06659612123026e+001	(8.26965965421666e+001dB,9.21734154118068e+001°)
1.06905487922266e+001	(8.26759560411465e+001dB,9.21609095506344e+001°)
1.07151930523761e+001	(8.26553135886781e+001dB,9.21484361315714e+001°)
1.07398941234124e+001	(8.26346691917499e+001dB,9.21359951989778e+001°)
1.07646521362983e+001	(8.26140228559989e+001dB,9.21235867154586e+001°)
1.07894672222983e+001	(8.25933745894157e+001dB,9.21112106745948e+001°)
1.08143395129794e+001	(8.25727243988217e+001dB,9.20988670822510e+001°)
1.08392691402120e+001	(8.25520722919197e+001dB,9.20865559186676e+001°)
1.08642562361706e+001	(8.25314182751824e+001dB,9.20742771929470e+001°)
1.08893009333343e+001	(8.25107623569219e+001dB,9.20620308883709e+001°)
1.09144033644875e+001	(8.24901045426625e+001dB,9.20498170109488e+001°)
1.09395636627209e+001	(8.24694448401916e+001dB,9.20376355477129e+001°)
1.09647819614318e+001	(8.24487832575834e+001dB,9.20254865020798e+001°)
1.09900583943252e+001	(8.24281198014732e+001dB,9.20133698464472e+001°)
1.10153930954141e+001	(8.24074544791195e+001dB,9.20012855930813e+001°)
1.10407861990207e+001	(8.23867872978951e+001dB,9.19892337378913e+001°)
1.10662378397766e+001	(8.23661182665131e+001dB,9.19772142684222e+001°)
1.10917481526240e+001	(8.23454473910320e+001dB,9.19652271905574e+001°)
1.11173172728159e+001	(8.23247746787685e+001dB,9.19532724847706e+001°)
1.11429453359173e+001	(8.23041001383070e+001dB,9.19413501444286e+001°)
1.11686324778056e+001	(8.22834237766982e+001dB,9.19294601771604e+001°)
1.11943788346715e+001	(8.22627456015472e+001dB,9.19176025645195e+001°)
1.12201845430196e+001	(8.22420656201369e+001dB,9.19057773153209e+001°)
1.12460497396692e+001	(8.22213838408603e+001dB,9.18939844043114e+001°)
1.12719745617551e+001	(8.22007002705697e+001dB,9.18822238390677e+001°)
1.12979591467279e+001	(8.21800149179859e+001dB,9.18704956158438e+001°)
1.13240036323555e+001	(8.21593277896714e+001dB,9.18587997194857e+001°)
1.13501081567231e+001	(8.21386388945536e+001dB,9.18471361440755e+001°)
1.13762728582343e+001	(8.21179482395168e+001dB,9.18355049066589e+001°)
1.14024978756117e+001	(8.20972558331881e+001dB,9.18239059657757e+001°)
1.14287833478977e+001	(8.20765616823557e+001dB,9.18123393365032e+001°)
1.14551294144553e+001	(8.20558657969935e+001dB,9.18008050164821e+001°)
1.14815362149688e+001	(8.20351681827797e+001dB,9.17893029861746e+001°)
1.15080038894443e+001	(8.20144688495336e+001dB,9.17778332533470e+001°)
1.15345325782109e+001	(8.19937678027154e+001dB,9.17663958050397e+001°)
1.15611224219210e+001	(8.19730650537927e+001dB,9.17549906212662e+001°)
1.15877735615512e+001	(8.19523606086271e+001dB,9.17436177320205e+001°)
1.16144861384034e+001	(8.19316544761816e+001dB,9.17322770944339e+001°)
1.16412602941049e+001	(8.19109466639191e+001dB,9.17209687237201e+001°)
1.16680961706096e+001	(8.18902371796729e+001dB,9.17096925993466e+001°)
1.16949939101987e+001	(8.18695260329733e+001dB,9.16984487148049e+001°)
1.17219536554813e+001	(8.18488132324295e+001dB,9.16872370813351e+001°)
1.17489755493953e+001	(8.18280987841912e+001dB,9.16760576751067e+001°)
1.17760597352080e+001	(8.18073826988528e+001dB,9.16649105044751e+001°)
1.18032063565173e+001	(8.17866649823253e+001dB,9.16537955503055e+001°)
1.18304155572516e+001	(8.17659456459581e+001dB,9.16427128072233e+001°)
1.18576874816716e+001	(8.17452246952920e+001dB,9.16316622768008e+001°)
1.18850222743701e+001	(8.17245021409138e+001dB,9.16206439448402e+001°)
1.19124200802737e+001	(8.17037779898967e+001dB,9.16096577989983e+001°)
1.19398810446427e+001	(8.16830522511974e+001dB,9.15987038435201e+001°)
1.19674053130724e+001	(8.16623249344383e+001dB,9.15877820548849e+001°)
1.19949930314937e+001	(8.16415960460710e+001dB,9.15768924496988e+001°)
1.20226443461741e+001	(8.16208655963401e+001dB,9.15660350156955e+001°)
1.20503594037179e+001	(8.16001335941228e+001dB,9.15552097180226e+001°)
1.20781383510678e+001	(8.15794000465628e+001dB,9.15444165809639e+001°)
1.21059813355048e+001	(8.15586649630185e+001dB,9.15336555796630e+001°)
1.21338885046497e+001	(8.15379283523320e+001dB,9.15229267026570e+001°)
1.21618600064636e+001	(8.15171902238206e+001dB,9.15122299638626e+001°)
1.21898959892486e+001	(8.14964505857038e+001dB,9.15015653386462e+001°)
1.22179966016487e+001	(8.14757094470273e+001dB,9.14909328290216e+001°)
1.22461619926504e+001	(8.14549668163550e+001dB,9.14803324208205e+001°)
1.22743923115840e+001	(8.14342227021842e+001dB,9.14697640776506e+001°)
1.23026877081238e+001	(8.14134771151607e+001dB,9.14592278466586e+001°)
1.23310483322890e+001	(8.13927300616527e+001dB,9.14487236732911e+001°)
1.23594743344450e+001	(8.13719815526214e+001dB,9.14382515692745e+001°)
1.23879658653036e+001	(8.13512315963874e+001dB,9.14278115480201e+001°)
1.24165230759240e+001	(8.13304802025246e+001dB,9.14174035384751e+001°)
1.24451461177138e+001	(8.13097273791027e+001dB,9.14070275873629e+001°)
1.24738351424294e+001	(8.12889731363683e+001dB,9.13966836614515e+001°)
1.25025903021771e+001	(8.12682174825516e+001dB,9.13863717582745e+001°)
1.25314117494141e+001	(8.12474604266308e+001dB,9.13760918665418e+001°)
1.25602996369487e+001	(8.12267019788818e+001dB,9.13658439859648e+001°)
1.25892541179416e+001	(8.12059421473120e+001dB,9.13556280750948e+001°)
1.26182753459066e+001	(8.11851809425940e+001dB,9.13454441586266e+001°)
1.26473634747114e+001	(8.11644183730653e+001dB,9.13352922255690e+001°)
1.26765186585784e+001	(8.11436544474411e+001dB,9.13251722312524e+001°)
1.27057410520853e+001	(8.11228891761956e+001dB,9.13150842078526e+001°)
1.27350308101665e+001	(8.11021225681575e+001dB,9.13050281189159e+001°)
1.27643880881134e+001	(8.10813546323329e+001dB,9.12950039490895e+001°)
1.27938130415752e+001	(8.10605853794013e+001dB,9.12850117173179e+001°)
1.28233058265601e+001	(8.10398148177894e+001dB,9.12750513905017e+001°)
1.28528665994361e+001	(8.10190429563250e+001dB,9.12651229616394e+001°)
1.28824955169313e+001	(8.09982698062982e+001dB,9.12552264114104e+001°)
1.29121927361353e+001	(8.09774953755637e+001dB,9.12453617303922e+001°)
1.29419584144998e+001	(8.09567196747913e+001dB,9.12355289280826e+001°)
1.29717927098395e+001	(8.09359427130702e+001dB,9.12257279742144e+001°)
1.30016957803328e+001	(8.09151644999189e+001dB,9.12159588480118e+001°)
1.30316677845229e+001	(8.08943850449056e+001dB,9.12062215533954e+001°)
1.30617088813183e+001	(8.08736043588491e+001dB,9.11965160814210e+001°)
1.30918192299940e+001	(8.08528224486995e+001dB,9.11868424038289e+001°)
1.31219989901920e+001	(8.08320393276101e+001dB,9.11772005170865e+001°)
1.31522483219223e+001	(8.08112550024282e+001dB,9.11675904184502e+001°)
1.31825673855640e+001	(8.07904694843684e+001dB,9.11580120728375e+001°)
1.32129563418657e+001	(8.07696827832848e+001dB,9.11484654818159e+001°)
1.32434153519466e+001	(8.07488949072682e+001dB,9.11389506230570e+001°)
1.32739445772973e+001	(8.07281058692748e+001dB,9.11294675004722e+001°)
1.33045441797808e+001	(8.07073156761604e+001dB,9.11200160803450e+001°)
1.33352143216332e+001	(8.06865243392502e+001dB,9.11105963489262e+001°)
1.33659551654643e+001	(8.06657318681582e+001dB,9.11012083097447e+001°)
1.33967668742593e+001	(8.06449382725538e+001dB,9.10918519388107e+001°)
1.34276496113785e+001	(8.06241435636422e+001dB,9.10825272210847e+001°)
1.34586035405594e+001	(8.06033477490807e+001dB,9.10732341371858e+001°)
1.34896288259164e+001	(8.05825508406960e+001dB,9.10639726814101e+001°)
1.35207256319427e+001	(8.05617528476030e+001dB,9.10547428349210e+001°)
1.35518941235103e+001	(8.05409537807488e+001dB,9.10455445817641e+001°)
1.35831344658714e+001	(8.05201536493722e+001dB,9.10363778929999e+001°)
1.36144468246594e+001	(8.04993524643073e+001dB,9.10272427868244e+001°)
1.36458313658891e+001	(8.04785502334555e+001dB,9.10181392172169e+001°)
1.36772882559584e+001	(8.04577469695614e+001dB,9.10090671758136e+001°)
1.37088176616484e+001	(8.04369426820024e+001dB,9.10000266598503e+001°)
1.37404197501251e+001	(8.04161373799459e+001dB,9.09910176252120e+001°)
1.37720946889394e+001	(8.03953310748822e+001dB,9.09820400766998e+001°)
1.38038426460287e+001	(8.03745237767534e+001dB,9.09730939952650e+001°)
1.38356637897177e+001	(8.03537154944379e+001dB,9.09641793546518e+001°)
1.38675582887188e+001	(8.03329062399406e+001dB,9.09552961449513e+001°)
1.38995263121334e+001	(8.03120960220362e+001dB,9.09464443529708e+001°)
1.39315680294529e+001	(8.02912848521615e+001dB,9.09376239479189e+001°)
1.39636836105593e+001	(8.02704727405116e+001dB,9.09288349129521e+001°)
1.39958732257261e+001	(8.02496596959225e+001dB,9.09200772394990e+001°)
1.40281370456195e+001	(8.02288457305961e+001dB,9.09113509088482e+001°)
1.40604752412990e+001	(8.02080308542327e+001dB,9.09026558936003e+001°)
1.40928879842186e+001	(8.01872150764437e+001dB,9.08939921828587e+001°)
1.41253754462274e+001	(8.01663984082290e+001dB,9.08853597485900e+001°)
1.41579377995707e+001	(8.01455808602038e+001dB,9.08767585778603e+001°)
1.41905752168908e+001	(8.01247624424289e+001dB,9.08681886441106e+001°)
1.42232878712281e+001	(8.01039431653375e+001dB,9.08596499389603e+001°)
1.42560759360218e+001	(8.00831230391241e+001dB,9.08511424328746e+001°)
1.42889395851109e+001	(8.00623020745840e+001dB,9.08426661085609e+001°)
1.43218789927353e+001	(8.00414802814744e+001dB,9.08342209414842e+001°)
1.43548943335364e+001	(8.00206576719054e+001dB,9.08258069257862e+001°)
1.43879857825583e+001	(7.99998342548652e+001dB,9.08174240124636e+001°)
1.44211535152486e+001	(7.99790100421724e+001dB,9.08090722130067e+001°)
1.44543977074592e+001	(7.99581850426586e+001dB,9.08007514702369e+001°)
1.44877185354475e+001	(7.99373592676226e+001dB,9.07924617886078e+001°)
1.45211161758773e+001	(7.99165327277515e+001dB,9.07842031406830e+001°)
1.45545908058195e+001	(7.98957054337461e+001dB,9.07759755012646e+001°)
1.45881426027534e+001	(7.98748773963526e+001dB,9.07677788556450e+001°)
1.46217717445671e+001	(7.98540486251434e+001dB,9.07596131638406e+001°)
1.46554784095590e+001	(7.98332191315717e+001dB,9.07514784119604e+001°)
1.46892627764385e+001	(7.98123889260462e+001dB,9.07433745760234e+001°)
1.47231250243271e+001	(7.97915580190399e+001dB,9.07353016401873e+001°)
1.47570653327588e+001	(7.97707264213608e+001dB,9.07272595658152e+001°)
1.47910838816819e+001	(7.97498941433726e+001dB,9.07192483403880e+001°)
1.48251808514594e+001	(7.97290611955870e+001dB,9.07112679364202e+001°)
1.48593564228699e+001	(7.97082275899456e+001dB,9.07033183242888e+001°)
1.48936107771090e+001	(7.96873933348586e+001dB,9.06953994836380e+001°)
1.49279440957898e+001	(7.96665584431755e+001dB,9.06875113969309e+001°)
1.49623565609442e+001	(7.96457229238761e+001dB,9.06796540211428e+001°)
1.49968483550236e+001	(7.96248867891833e+001dB,9.06718273468747e+001°)
1.50314196609001e+001	(7.96040500483978e+001dB,9.06640313329175e+001°)
1.50660706618673e+001	(7.95832127130939e+001dB,9.06562659668198e+001°)
1.51008015416413e+001	(7.95623747939632e+001dB,9.06485312179640e+001°)
1.51356124843619e+001	(7.95415363009560e+001dB,9.06408270445536e+001°)
1.51705036745932e+001	(7.95206972456629e+001dB,9.06331534525567e+001°)
1.52054752973248e+001	(7.94998576384160e+001dB,9.06255103688019e+001°)
1.52405275379728e+001	(7.94790174902542e+001dB,9.06178978136542e+001°)
1.52756605823806e+001	(7.94581768109092e+001dB,9.06103157315642e+001°)
1.53108746168202e+001	(7.94373356122219e+001dB,9.06027640960817e+001°)
1.53461698279928e+001	(7.94164939043953e+001dB,9.05952428799773e+001°)
1.53815464030302e+001	(7.93956516984457e+001dB,9.05877520684771e+001°)
1.54170045294954e+001	(7.93748090048591e+001dB,9.05802916076360e+001°)
1.54525443953840e+001	(7.93539658349487e+001dB,9.05728614892271e+001°)
1.54881661891247e+001	(7.93331221986439e+001dB,9.05654616714562e+001°)
1.55238700995807e+001	(7.93122781070114e+001dB,9.05580921357147e+001°)
1.55596563160506e+001	(7.92914335713799e+001dB,9.05507528361707e+001°)
1.55955250282694e+001	(7.92705886015737e+001dB,9.05434437613964e+001°)
1.56314764264094e+001	(7.92497432089825e+001dB,9.05361648595794e+001°)
1.56675107010813e+001	(7.92288974041948e+001dB,9.05289161166225e+001°)
1.57036280433354e+001	(7.92080511979300e+001dB,9.05216975027910e+001°)
1.57398286446620e+001	(7.91872046010687e+001dB,9.05145089716242e+001°)
1.57761126969933e+001	(7.91663576239887e+001dB,9.05073505017057e+001°)
1.58124803927037e+001	(7.91455102783101e+001dB,9.05002220528790e+001°)
1.58489319246110e+001	(7.91246625741634e+001dB,9.04931236069168e+001°)
1.58854674859776e+001	(7.91038145223565e+001dB,9.04860551118424e+001°)
1.59220872705115e+001	(7.90829661332968e+001dB,9.04790165581705e+001°)
1.59587914723672e+001	(7.90621174188154e+001dB,9.04720078933012e+001°)
1.59955802861465e+001	(7.90412683883380e+001dB,9.04650290883605e+001°)
1.60324539069002e+001	(7.90204190533156e+001dB,9.04580801067878e+001°)
1.60694125301286e+001	(7.89995694249324e+001dB,9.04511609319672e+001°)
1.61064563517825e+001	(7.89787195126975e+001dB,9.04442715135264e+001°)
1.61435855682647e+001	(7.89578693285507e+001dB,9.04374118226805e+001°)
1.61808003764305e+001	(7.89370188830545e+001dB,9.04305818140644e+001°)
1.62181009735891e+001	(7.89161681861430e+001dB,9.04237814619079e+001°)
1.62554875575047e+001	(7.88953172488638e+001dB,9.04170107282932e+001°)
1.62929603263970e+001	(7.88744660827243e+001dB,9.04102695874048e+001°)
1.63305194789432e+001	(7.88536146978103e+001dB,9.04035579840422e+001°)
1.63681652142779e+001	(7.88327631045338e+001dB,9.03968758984553e+001°)
1.64058977319952e+001	(7.88119113137351e+001dB,9.03902232831197e+001°)
1.64437172321491e+001	(7.87910593367136e+001dB,9.03836001138763e+001°)
1.64816239152549e+001	(7.87702071833919e+001dB,9.03770063409812e+001°)
1.65196179822900e+001	(7.87493548648581e+001dB,9.03704419277502e+001°)
1.65576996346951e+001	(7.87285023917016e+001dB,9.03639068416472e+001°)
1.65958690743754e+001	(7.87076497747154e+001dB,9.03574010514129e+001°)
1.66341265037015e+001	(7.86867970242077e+001dB,9.03509244979267e+001°)
1.66724721255104e+001	(7.86659441513358e+001dB,9.03444771616977e+001°)
1.67109061431069e+001	(7.86450911662730e+001dB,9.03380590014686e+001°)
1.67494287602642e+001	(7.86242380796540e+001dB,9.03316699657180e+001°)
1.67880401812254e+001	(7.86033849023849e+001dB,9.03253100245141e+001°)
1.68267406107045e+001	(7.85825316445640e+001dB,9.03189791439276e+001°)
1.68655302538872e+001	(7.85616783174626e+001dB,9.03126772724605e+001°)
1.69044093164324e+001	(7.85408249313404e+001dB,9.03064043737626e+001°)
1.69433780044731e+001	(7.85199714966157e+001dB,9.03001604005286e+001°)
1.69824365246172e+001	(7.84991180242769e+001dB,9.02939453238629e+001°)
1.70215850839493e+001	(7.84782645243067e+001dB,9.02877591089791e+001°)
1.70608238900310e+001	(7.84574110073854e+001dB,9.02816016820931e+001°)
1.71001531509027e+001	(7.84365574841911e+001dB,9.02754730420200e+001°)
1.71395730750841e+001	(7.84157039652200e+001dB,9.02693731158656e+001°)
1.71790838715757e+001	(7.83948504610192e+001dB,9.02633018760125e+001°)
