Freq.	1/(1-1/(2*(I(Vi)@1*V(x)@2-V(x)@1*I(Vi)@2)+V(x)@1+I(Vi)@2))
Step Information: Prb=-1  (Run: 1/2)
1.00000000000000e+001	(8.32737107409527e+001dB,9.25391844322109e+001°)
1.00230523807790e+001	(8.32531275990246e+001dB,9.25257726350049e+001°)
1.00461579027840e+001	(8.32325423228857e+001dB,9.25123934800096e+001°)
1.00693166885180e+001	(8.32119549179386e+001dB,9.24990469770956e+001°)
1.00925288607668e+001	(8.31913653904897e+001dB,9.24857331121187e+001°)
1.01157945425990e+001	(8.31707737484788e+001dB,9.24724518773083e+001°)
1.01391138573668e+001	(8.31501799960018e+001dB,9.24592032780489e+001°)
1.01624869287070e+001	(8.31295841391154e+001dB,9.24459872925649e+001°)
1.01859138805412e+001	(8.31089861857261e+001dB,9.24328039099032e+001°)
1.02093948370768e+001	(8.30883861408282e+001dB,9.24196531253797e+001°)
1.02329299228075e+001	(8.30677840121438e+001dB,9.24065349592991e+001°)
1.02565192625141e+001	(8.30471798036909e+001dB,9.23934493715024e+001°)
1.02801629812647e+001	(8.30265735240748e+001dB,9.23803963681081e+001°)
1.03038612044162e+001	(8.30059651785932e+001dB,9.23673759548738e+001°)
1.03276140576140e+001	(8.29853547736011e+001dB,9.23543881103840e+001°)
1.03514216667934e+001	(8.29647423160914e+001dB,9.23414328389169e+001°)
1.03752841581801e+001	(8.29441278122111e+001dB,9.23285101239888e+001°)
1.03992016582906e+001	(8.29235112689624e+001dB,9.23156199541922e+001°)
1.04231742939330e+001	(8.29028926924297e+001dB,9.23027623335095e+001°)
1.04472021922080e+001	(8.28822720880245e+001dB,9.22899372751630e+001°)
1.04712854805090e+001	(8.28616494650376e+001dB,9.22771447285336e+001°)
1.04954242865232e+001	(8.28410248277347e+001dB,9.22643847320901e+001°)
1.05196187382322e+001	(8.28203981845670e+001dB,9.22516572503777e+001°)
1.05438689639126e+001	(8.27997695407512e+001dB,9.22389622824508e+001°)
1.05681750921366e+001	(8.27791389039728e+001dB,9.22262998334828e+001°)
1.05925372517729e+001	(8.27585062805578e+001dB,9.22136699060085e+001°)
1.06169555719872e+001	(8.27378716776983e+001dB,9.22010724652744e+001°)
1.06414301822431e+001	(8.27172351020247e+001dB,9.21885075136476e+001°)
1.06659612123026e+001	(8.26965965609220e+001dB,9.21759750644558e+001°)
1.06905487922266e+001	(8.26759560603100e+001dB,9.21634750903625e+001°)
1.07151930523761e+001	(8.26553136083239e+001dB,9.21510076004679e+001°)
1.07398941234124e+001	(8.26346692106398e+001dB,9.21385726019871e+001°)
1.07646521362983e+001	(8.26140228754868e+001dB,9.21261700394094e+001°)
1.07894672222983e+001	(8.25933746094850e+001dB,9.21137999599885e+001°)
1.08143395129794e+001	(8.25727244191970e+001dB,9.21014623244146e+001°)
1.08392691402120e+001	(8.25520723113584e+001dB,9.20891571505034e+001°)
1.08642562361706e+001	(8.25314182948856e+001dB,9.20768844209896e+001°)
1.08893009333343e+001	(8.25107623761012e+001dB,9.20646441431371e+001°)
